Subject ActivityLabels timeBodyAcceleration-mean-X timeBodyAcceleration-mean-Y timeBodyAcceleration-mean-Z timeBodyAcceleration-std-X timeBodyAcceleration-std-Y timeBodyAcceleration-std-Z timeBodyAcceleration-mad-X timeBodyAcceleration-mad-Y timeBodyAcceleration-mad-Z timeBodyAcceleration-max-X timeBodyAcceleration-max-Y timeBodyAcceleration-max-Z timeBodyAcceleration-min-X
1 LAYING 0.22159824394 -0.0405139534294 -0.11320355358 -0.9280564692 -0.83682740562 -0.826061401628 -0.9321111728 -0.84091058864 -0.82176998216 -0.9062060304 -0.50155399396 -0.702558042 0.74306899108
1 SITTING 0.261237565425532 -0.00130828765170213 -0.104544182255319 -0.977229008297872 -0.922618641914894 -0.93958629106383 -0.979514584468085 -0.919658954042553 -0.938834141702128 -0.927478156170213 -0.51735077593617 -0.786367285319149 0.820265045957447
1 STANDING 0.278917629056604 -0.0161375901037736 -0.110601817735849 -0.995759901509434 -0.973190056415094 -0.979775876981132 -0.996141353962264 -0.971758757169811 -0.979317499056604 -0.939289253207547 -0.560940620754717 -0.812804122641509 0.848946458679245
1 WALKING 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.283740258842105 0.114461336747368 -0.260027902210526 -0.340699021263158 0.0618110802884211 -0.2501253216 -0.103124690251158 -0.055729884396 -0.255287708568421 0.119648414553684
1 WALKING_DOWNSTAIRS 0.289188320408163 -0.00991850461020408 -0.107566190908163 0.0300353383483878 -0.0319359434489796 -0.230434213204082 -0.0441172244571429 -0.107395631427551 -0.212040083591837 0.388969738367347 -0.095283959644898 -0.316749443930204 0.015681414244898
1 WALKING_UPSTAIRS 0.255461689622641 -0.0239531492643396 -0.0973020020943396 -0.35470802509434 -0.00232026501698113 -0.0194792388471698 -0.402832782264151 0.00767689909056604 0.0359905006150943 -0.159448548560377 -0.102688458301887 -0.160509697286792 0.238182436509434
2 LAYING 0.281373403958333 -0.0181587397583333 -0.107245610416667 -0.974059464791667 -0.98027739875 -0.984233296875 -0.976606966458333 -0.980963747291667 -0.984844731458333 -0.918792223541667 -0.562922494375 -0.811239590833333 0.821333087083333
2 SITTING 0.27708735173913 -0.0156879937282609 -0.109218272456522 -0.986822279565217 -0.950704499130435 -0.95982817173913 -0.988594493695652 -0.951537807173913 -0.958942750434783 -0.926683676304348 -0.544435806304348 -0.800573029130435 0.83944400826087
2 STANDING 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 -0.98934137 -0.957543717037037 -0.94760257 -0.926344519259259 -0.549563718148148 -0.787788226851852 0.833698080925926
2 WALKING 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.423642838474576 -0.0780912533118644 -0.425257524915254 -0.460983072033898 -0.120172928300508 -0.410145294237288 -0.268557946491525 -0.11402759334678 -0.376478510508475 0.34872297440678
2 WALKING_DOWNSTAIRS 0.27761534806383 -0.0226614158361702 -0.116812942382979 0.0463666814446808 0.262881788951064 -0.10283790806383 -0.0627127618723404 0.206997256429787 -0.118190945212766 0.514219680638298 0.16616104183617 -0.233185062425532 0.152424961957447
2 WALKING_UPSTAIRS 0.247164790395833 -0.0214121132045833 -0.152513899520833 -0.304376406458333 0.108027279889583 -0.112121021220833 -0.361106808541667 0.113198669327083 -0.151313527122917 0.0556178940416667 -0.0524464521258333 -0.340458121458333 0.247447674729167
